tweetid,text,date,username,userid
2.76E+17,At work I mistook the typhoon for the saint. In my defense I got the international code name right. #epicemailgaffes #pabloPH,Wed Dec 05 00:31:46 CET 2012,graecopaul,120779348
2.76E+17,The road at Agan-an is blocked from both ways neighbors trimming the logs for firewood. #pabloPH http://t.co/00h3cEP1,Wed Dec 05 00:31:49 CET 2012,ThePedrookie,961661964
2.76E+17,The darkness after 'Pablo' http://t.co/RB5RauUq Cities towns left without power after #PabloPH #Bopha,Wed Dec 05 00:32:51 CET 2012,rapplerdotcom,330826792
2.76E+17,@ReliefPHcom: Davao Oriental: immediate needs #pabloPH - http://t.co/wUxnYmdW #ReliefPH,Wed Dec 05 00:33:08 CET 2012,solartvnews,427973738
2.76E+17,Part of the airport wall taken down by #pabloPH yesterday. Thank God no one reported hurt n d hood. http://t.co/JMo8uNDQ,Wed Dec 05 00:33:32 CET 2012,ThePedrookie,961661964
2.76E+17," ""@nababaha: Position and track of typhoon Pablo. Ingat mga taga Palawan. http://t.co/SPfBPYz2"" #PanahonTV #PabloPH",Wed Dec 05 00:34:02 CET 2012,PanahonTV,793180483
2.76E+17,"  @PanahonTV: ""@nababaha: Position and track of typhoon Pablo. Ingat mga taga Palawan. http://t.co/SPfBPYz2"" #PanahonTV #PabloPH",Wed Dec 05 00:34:12 CET 2012,ReliefPHcom,744866954
2.76E+17,via @Estacion_bcp: Tif�__n #Bopha afecta en Filipinas Oc�_��ano Pac�__fico (4/12/2012) VIDEO: http://t.co/3b7JjVeK,Wed Dec 05 00:37:01 CET 2012,COVEMET,193914843
2.76E+17,Neighbors busy chopping down pieces of fallen trees after #pabloPH http://t.co/Gq7mo3A5,Wed Dec 05 00:37:19 CET 2012,ThePedrookie,961661964
2.76E+17,Outside our house yesterday! #Strongwinds #PabloPh  @ Aluba Village http://t.co/RXTOfDwy,Wed Dec 05 00:37:40 CET 2012,nikulnixcuevas,409655938
2.76E+17,The sun is up in #Cebu after Typhoon #PabloPH tried to cause us distress. http://t.co/fsVQUsgK,Wed Dec 05 00:37:44 CET 2012,mai_wv,288527695
2.76E+17,Thankful that my VisMin relatives & friends were kept safe from #PabloPH. For those who want to help visit http://t.co/1QV9KYG8 for info,Wed Dec 05 00:39:46 CET 2012,aeyelle,8122872
2.76E+17,81 dead as super #Typhoon 'Bopha' hits southern #Philippines #bopha #pablo http://t.co/ccrX5mV1,Wed Dec 05 00:39:59 CET 2012,Disaster_Update,403539516
2.76E+17,3 big pigs and The little wolf. My house got invaded. #pabloPH #instafriend #f4f #wooh http://t.co/HGtJ9oqF,Wed Dec 05 00:41:56 CET 2012,Sheradynes,93362897
2.76E+17,#CebuCity as referenced by dot and #CebuIsland in relation to the eye of TS #PabloPH. No reports of massive damage. http://t.co/WyuVIv4h,Wed Dec 05 00:42:38 CET 2012,whoiskarlon,50910820
2.76E+17,TOP STORY: Fears of more deaths after 'Pablo' http://t.co/V4YqgqIg #PabloPH #Bopha,Wed Dec 05 00:44:20 CET 2012,rapplerdotcom,330826792
2.76E+17,TOP STORY: Fears of more deaths after 'Pablo' http://t.co/Qs8LHoyt #PabloPH #Bopha,Wed Dec 05 00:44:21 CET 2012,newsbreak_ph,51030562
2.76E+17,43 patay 9 nawawala sa flash flood sa ComVal �_�_̨ heneral #PabloPH http://t.co/kvS4vh,Wed Dec 05 00:46:13 CET 2012,gmanews,39453212
2.76E+17,Rainy morning. Go away #PabloPh http://t.co/83AC0yKs,Wed Dec 05 00:46:41 CET 2012,JasminRuthiee,329780947
2.76E+17,Powerlines down barracks nearby mobilizing to help out with those displaced by #pabloPH http://t.co/BRDp7iVd,Wed Dec 05 00:48:38 CET 2012,ThePedrookie,961661964
2.76E+17,#photos of Typhoon #Bopha from #space by @NASA as it causes severe damage in the #Philippines http://t.co/V7NSC0h5 #weather,Wed Dec 05 00:49:25 CET 2012,photosSMH,150230325
2.76E+17,@weathernetwork: Typhoon #Bopha strongest to hit Philippines in 22 years: http://t.co/XqMltqQY,Wed Dec 05 00:49:35 CET 2012,Lexi_Michaels,441620559
2.76E+17,PAGASA UPDATE(7AM 5/DEC/2012):Eye of TY #PabloPH- 110km NE of Puerto Princesa City Palawan http://t.co/o2npWAdc |via @dost_pagasa #CGDPAL,Wed Dec 05 00:52:47 CET 2012,PCGmedical,838997761
2.76E+17," Oh God.  ""@gmanews: 43 patay 9 nawawala sa flash flood sa ComVal �_�_̨ heneral #PabloPH http://t.co/KmdzFE8n""",Wed Dec 05 00:54:09 CET 2012,roughgarett,39943586
2.76E+17,First news about the impact of typhoon #Bopha (#Pablo). 44 people were killed in a debris flow in Campostela Valley: http://t.co/7HSGoTFc,Wed Dec 05 00:54:30 CET 2012,davepetley,249892766
2.76E+17,"  @roughgarett: Oh God.  ""@gmanews: 43 patay 9 nawawala sa flash flood sa ComVal �_�_̨ heneral #PabloPH http://t.co/KmdzFE8n""",Wed Dec 05 00:55:15 CET 2012,chronicdoll13,223437319
2.76E+17,We survived #PabloPh #CDO! Praise!! http://t.co/y3ZwSCoB via @youtube via @ANCALES,Wed Dec 05 00:55:33 CET 2012,MrHammerRoa,234684041
2.76E+17,#Tifon #Bopha #deja #74 #muertos #en #Filipinas: // http://t.co/UlY2ym7q para mas videos // Origen - .......... http://t.co/0AxpvDon,Wed Dec 05 00:55:42 CET 2012,sp_noticias,516490057
2.76E+17,"  @WVUKNews: ""It is heartbreaking to see so many people crying."" Panic & fear left in wake of typhoon #Bopha #Philippines http://t ...",Wed Dec 05 00:55:49 CET 2012,DaughterZhivago,258208740
2.76E+17," ""@gmanews: .@dost_pagasa: Weakened #PabloPH heads to Palawan may make landfall there http://t.co/NWl1suKZ""take care mga palawenos",Wed Dec 05 00:56:00 CET 2012,ebmabz01,103323480
2.76E+17,@PrimyCk It's time for clean up. This man is scraping mud from their property http://t.co/HvQMgmFl #PabloPH,Wed Dec 05 00:56:12 CET 2012,ABSCBNNews,15872418
2.76E+17,http://t.co/MAamYWSj Check this out. #OroquietaCity #PabloPH #News,Wed Dec 05 00:56:31 CET 2012,Tracy_Cagas20,251494274
2.76E+17,@primyck: CDO residents making breakfast along the road because their homes are still knee-deep in mud http://t.co/i6HNyxyR #PabloPH,Wed Dec 05 00:56:59 CET 2012,ABSCBNNews,15872418
2.76E+17,#Pablo (#Bopha) leaves Compostela Valley with 43 dead 9 missing in flash floods. http://t.co/nUea86kc -@gmanews (@Earl1901),Wed Dec 05 00:57:17 CET 2012,Earl1901,79995671
2.76E+17,@rapplerdotcom: #PabloPH kills 23 in Davao Oriental town http://t.co/icW87LGZ,Wed Dec 05 00:57:36 CET 2012,kimchimeal,35189868
2.76E+17,@yogon: Ingat VisMin! #PabloPH http://t.co/w9aozzv0,Wed Dec 05 00:57:43 CET 2012,jasmine44129409,587183460
2.76E+17,The view of mountains from our balcony was nowhere to be found yesterday aft. #PabloPH http://t.co/IbdzXf8u,Wed Dec 05 00:58:22 CET 2012,deorenzifrances,81570655
2.76E+17,@primyck: The roof of this sari-sari store was damaged by a tree that fell on it #CDO Brgy Canitoan http://t.co/6Ges0PdR #PabloPH,Wed Dec 05 00:58:27 CET 2012,ABSCBNNews,15872418
2.76E+17,@primyck: Crop damage after the flood in Brgy Canitoan CDO http://t.co/7XHH9nrZ #PabloPH,Wed Dec 05 00:58:39 CET 2012,ABSCBNNews,15872418
2.76E+17,@primyck: Last night the flood water went higher than the windows of this house in Brgy Canitoan CDO. http://t.co/vvAunloX #PabloPH,Wed Dec 05 00:58:53 CET 2012,ABSCBNNews,15872418
2.76E+17,@primyck: The streets in many areas in CDO look like this today. http://t.co/3jovomxu #PabloPH,Wed Dec 05 00:59:11 CET 2012,ABSCBNNews,15872418
